SEEDGWAS2078id	general_identifier	number	name	bank_number	breeders_code	subtaxa_id...7	taxonomy_id	institution_id	breeder_id	plant_passport	donor_code	donor_number	acqdate	collnumb	colldate	collcode	duplsite	biologicalstatus_id	collsrc_id	location_id	created_on	updated_on	locations_id	locations_state	locations_region	locations_site_name	locations_elevation	locations_latitude	locations_longitude	countries_id	countries_country_code2	countries_country_code3	countries_country_name	subtaxa_id...35	subtaxa_subtaxa_author	subtaxa_taxonomic_identifier	taxonomies_id	taxonomies_genus	taxonomies_species	taxonomies_species_author	taxonomies_crop_name	taxonomies_ploidy	Sample ID of DNA from composite samples	Sample ID of DNA from original CMLs	Sample ID of DNA from most recent CML regenerations	Sample ID for DNA from intermediate CML regenerations	Sample ID of DNA from single plants used in GWAS	Tester GID	Tester pedigree	Testcross GID	PrimaryRace	PrimaryPurity	SecondaryRace	Pedigree	GrainType1	GrainType2	GrainType3	GrainColor1	GrainColor2	GrainColor3	PopulationType	flowering_season_start	growing_season_start	X.unlist.strsplit.pca_sample_names....n....
1688	17123	NA	17123	CIMMYTMA-BANK-005673	NA	NA	2	NA	NA	NA	NA	NA	NA	URUG747	1978-05-28	NA	NA	NA	NA	2368	2014-11-24T15:12:06Z	NA	2368	NA	CERRO LARGO	CUCHILLA DE MELO C. A SAN DIEGO KM. 453-S. S.	NA	NA	NA	858	UY	URY	URUGUAY	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV5441	NA	NA	NA	SEEDGWAS2430	242917	CML457/CML459	239224	DENBRA	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS2430
1692	17135	NA	17135	CIMMYTMA-BANK-005688	NA	NA	2	NA	NA	NA	NA	NA	NA	URUG1083	1978-06-09	NA	NA	NA	NA	1265	2014-11-24T15:12:06Z	NA	1265	NA	SORIANO	CANADA MAGALLANES-HONORIO SOSA	NA	NA	NA	858	UY	URY	URUGUAY	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17915	NA	NA	NA	SEEDGWAS3450	242912	CML244/CML349	240244	DENBRA	NA	NA	NA	Dent	NA	NA	White	Sun red	NA	Collection	NA	NA	SEEDGWAS3450
1693	17141	NA	17141	CIMMYTMA-BANK-005690	NA	NA	2	NA	NA	NA	NA	NA	NA	URUG1087	1978-06-06	NA	NA	NA	NA	2668	2014-11-24T15:12:06Z	NA	2668	NA	SORIANO	EJIDO PALMITAS-IGNACIO RODRIGUEZ	NA	NA	NA	858	UY	URY	URUGUAY	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17903	NA	NA	NA	SEEDGWAS2432	242917	CML457/CML459	239226	DENBRA	NA	NA	NA	Dent	NA	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS2432
1694	17171	NA	17171	CIMMYTMA-BANK-005691	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1968-01-01	NA	NA	NA	NA	NA	2014-11-24T15:12:06Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV24332	NA	NA	NA	SEEDGWAS2758	242917	CML457/CML459	239552	CHALQU	NA	CONICO	NA	Dent	NA	NA	White	Yellow	NA	Composite	NA	NA	SEEDGWAS2758
1695	17172	NA	17172	CIMMYTMA-BANK-005694	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1968-01-01	NA	NA	NA	NA	NA	2014-11-24T15:12:06Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17920	NA	NA	NA	SEEDGWAS2759	242917	CML457/CML459	275911	CHALQU	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Composite	NA	NA	SEEDGWAS2759
1697	17185	NA	17185	CIMMYTMA-BANK-005696	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1965-01-01	NA	NA	NA	NA	NA	2014-11-24T15:12:06Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1173	NA	NA	NA	SEEDGWAS316	242913	CML269/CML264	241386	CATSUL	NA	NA	NA	Flint	NA	NA	Orange Yellow	NA	NA	Composite	NA	NA	SEEDGWAS316
1700	17202	NA	17202	CIMMYTMA-BANK-005707	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ1319	NA	NA	NA	NA	NA	1035	2014-11-24T15:12:06Z	NA	1035	NA	RIO GRANDE DO SUL	BURITI	245	-28.290932	-54.409057	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1174	NA	NA	NA	SEEDGWAS1460	242919	CML495/CML494	242531	PADENT	NA	LENHA	NA	Dent	NA	NA	Yellow	White	NA	Collection	NA	NA	SEEDGWAS1460
1701	17210	NA	17210	CIMMYTMA-BANK-005711	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ1327	NA	NA	NA	NA	NA	1702	2014-11-24T15:12:06Z	NA	1702	NA	RIO GRANDE DO SUL	CHIAPETA	414	-27.9431	-53.96135	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV23315	NA	NA	NA	SEEDGWAS3871	242919	CML495/CML494	240667	DTRGRU	9	NA	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS3871
1702	17216	NA	17216	CIMMYTMA-BANK-005715	NA	NA	2	NA	NA	NA	NA	NA	NA	CAMP101	1948-01-01	NA	NA	NA	NA	3150	2014-11-24T15:12:06Z	NA	3150	NA	NA	ESCARCEGA	95	18.572773	-90.740704	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17831	NA	NA	NA	SEEDGWAS318	242913	CML269/CML264	241388	TUXPEN	NA	NALTEL	NA	Dent	NA	NA	White	Yellow	Sun red	Collection	NA	NA	SEEDGWAS318
1703	17219	NA	17219	CIMMYTMA-BANK-005716	NA	NA	2	NA	NA	NA	NA	NA	NA	COAH55	1952-02-04	NA	NA	NA	NA	7458	2014-11-24T15:12:06Z	NA	7458	NA	MUNICIPIO ZARAGOZA	RANCHO TAMEZ	362	28.5	-100.9333333	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17796	NA	NA	NA	SEEDGWAS3872	242916	CML451/CML486	240668	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	Sun red	Collection	NA	NA	SEEDGWAS3872
1704	17222	NA	17222	CIMMYTMA-BANK-005718	NA	NA	2	NA	NA	NA	NA	NA	NA	CHIS96	1944-01-01	NA	NA	NA	NA	10110	2014-11-24T15:12:06Z	NA	10110	NA	NA	ZOYOTITAN	977	16.28333333	-92.38333333	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17896	NA	NA	NA	SEEDGWAS319	242919	CML495/CML494	241389	TUXPEN	NA	OLOTON	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS319
1705	17243	NA	17243	CIMMYTMA-BANK-005719	NA	NA	2	NA	NA	NA	NA	NA	NA	GUER48	1947-01-01	NA	NA	NA	NA	6752	2014-11-24T15:12:06Z	NA	6752	NA	CIUDAD ALTAMIRANO	PUNGARABATO	245	18.35	-100.65	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV22985	NA	NA	NA	SEEDGWAS3219	242913	CML269/CML264	240013	TUXPEN	NA	PEPITI	NA	Dent	NA	NA	White	Yellow	Blue	Collection	NA	NA	SEEDGWAS3219
1708	17423	NA	17423	CIMMYTMA-BANK-005782	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ1487	NA	NA	NA	NA	NA	8735	2014-11-24T15:12:06Z	NA	8735	NA	RIO GRANDE DO SUL	SANTO ANTONIO	147	-29.8	-50.5	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18575	NA	NA	NA	SEEDGWAS3220	242916	CML451/CML486	240014	TEPECI	NA	BOLITA	NA	Dent	NA	NA	White	Sun red	NA	Collection	NA	NA	SEEDGWAS3220
1710	17450	NA	17450	CIMMYTMA-BANK-005787	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ1496	NA	NA	NA	NA	NA	3135	2014-11-24T15:12:06Z	NA	3135	NA	RIO GRANDE DO SUL	ENTRE IJUIS	250	-28.365057	-54.283493	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18594	NA	NA	NA	SEEDGWAS3873	242914	CML373/CML311	240669	TABLON	NA	NA	NA	Dent	NA	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS3873
1711	17498	NA	17498	CIMMYTMA-BANK-005801	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ1518	NA	NA	NA	NA	NA	1702	2014-11-24T15:12:07Z	NA	1702	NA	RIO GRANDE DO SUL	CHIAPETA	414	-27.9431	-53.96135	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18608	NA	NA	NA	SEEDGWAS3221	242914	CML373/CML311	240015	TEPECI	NA	BOLITA	NA	Dent	NA	NA	White	Yellow	Sun red	Collection	NA	NA	SEEDGWAS3221
1712	17501	NA	17501	CIMMYTMA-BANK-005802	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ1522	NA	NA	NA	NA	NA	1703	2014-11-24T15:12:07Z	NA	1703	NA	RIO GRANDE DO SUL	CHIAPETA	436	-27.93324	-53.946282	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18562	NA	NA	NA	SEEDGWAS2022	242913	CML269/CML264	238860	SDENRG	9	NA	NA	Dent	Flint	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS2022
1714	17508	NA	17508	CIMMYTMA-BANK-005814	NA	NA	2	NA	NA	NA	NA	NA	NA	BRVI129	NA	NA	NA	NA	NA	NA	2014-11-24T15:12:07Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18568	NA	NA	NA	SEEDGWAS320	242919	CML495/CML494	241390	HAITYE	NA	NA	NA	Dent	NA	NA	Yellow	Sun red	White	Collection	NA	NA	SEEDGWAS320
1715	17509	NA	17509	CIMMYTMA-BANK-005815	NA	NA	2	NA	NA	NA	NA	NA	NA	BRVI134	NA	NA	NA	NA	NA	NA	2014-11-24T15:12:07Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV23423	NA	NA	NA	SEEDGWAS1461	242919	CML495/CML494	242532	STCROI	8	NA	NA	Dent	NA	NA	Sun red	Yellow	NA	Collection	NA	NA	SEEDGWAS1461
1716	17519	NA	17519	CIMMYTMA-BANK-005816	NA	NA	2	NA	NA	NA	NA	NA	NA	BRVI136	NA	NA	NA	NA	NA	NA	2014-11-24T15:12:07Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18494	NA	NA	NA	SEEDGWAS1462	242919	CML495/CML494	242533	TUSON	NA	EARCAR	NA	Dent	NA	NA	Sun red	Yellow	NA	Collection	NA	NA	SEEDGWAS1462
1719	17541	NA	17541	CIMMYTMA-BANK-005832	NA	NA	2	NA	NA	NA	NA	NA	NA	FRGU794	1954-01-01	NA	NA	NA	NA	1499	2014-11-24T15:12:07Z	NA	1499	NA	MACOURIA	CAYEN	23	4.936821	-52.42327	254	GF	GUF	FRENCH GUIANA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17860	NA	NA	NA	SEEDGWAS322	242919	CML495/CML494	241392	NORCAT	8	NA	NA	Dent	NA	NA	Yellow	Blue	NA	Collection	NA	NA	SEEDGWAS322
1720	17542	NA	17542	CIMMYTMA-BANK-005834	NA	NA	2	NA	NA	NA	NA	NA	NA	CAMP24	1948-01-01	NA	NA	NA	NA	NA	2014-11-24T15:12:07Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18132	NA	NA	NA	SEEDGWAS636	242919	CML495/CML494	241707	DZITBA	NA	NALTEL	NA	Dent	NA	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS636
1722	17544	NA	17544	CIMMYTMA-BANK-005836	NA	NA	2	NA	NA	NA	NA	NA	NA	NVOL13	1953-03-07	NA	NA	NA	NA	9836	2014-11-24T15:12:07Z	NA	9836	NA	NA	VILLA DE JUAREZ	387	25.629185	-100.082949	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18532	NA	NA	NA	SEEDGWAS3874	242916	CML451/CML486	240670	TUXPEN	NA	SNJUAN	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS3874
1723	17553	NA	17553	CIMMYTMA-BANK-005838	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA223	1970-02-05	NA	NA	NA	NA	753	2014-11-24T15:12:07Z	NA	753	NA	TONAMETECA	BARRIO LA FLORIDA	85	15.75	-96.51666667	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18303	NA	NA	NA	SEEDGWAS3875	242917	CML457/CML459	240671	BOLITA	NA	NA	NA	Dent	NA	NA	White	Yellow	Sun red	Collection	NA	NA	SEEDGWAS3875
1724	17556	NA	17556	CIMMYTMA-BANK-005840	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA229	1970-02-08	NA	NA	NA	NA	4225	2014-11-24T15:12:07Z	NA	4225	NA	JAMILTEPEC	JUQUILA	1512	16.233634	-97.28339	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18604	NA	NA	NA	SEEDGWAS3451	242914	CML373/CML311	240245	VANDEN	NA	TEPECI	NA	Dent	NA	NA	White	Yellow	Sun red	Collection	NA	NA	SEEDGWAS3451
1725	17557	NA	17557	CIMMYTMA-BANK-005841	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA230	1970-02-08	NA	NA	NA	NA	4225	2014-11-24T15:12:07Z	NA	4225	NA	JAMILTEPEC	JUQUILA	1512	16.233634	-97.28339	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV23331	NA	NA	NA	SEEDGWAS637	242913	CML269/CML264	241708	VANDEN	NA	NA	NA	Dent	NA	NA	White	Yellow	Sun red	Collection	NA	NA	SEEDGWAS637
1726	17558	NA	17558	CIMMYTMA-BANK-005842	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA231	1970-02-08	NA	NA	NA	NA	4225	2014-11-24T15:12:07Z	NA	4225	NA	JAMILTEPEC	JUQUILA	1512	16.233634	-97.28339	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1175	NA	NA	NA	SEEDGWAS1107	242916	CML451/CML486	242178	MUSHIT	NA	TEPECI	NA	Dent	Flint	NA	White	Blue	Yellow	Collection	NA	NA	SEEDGWAS1107
1727	17562	NA	17562	CIMMYTMA-BANK-005843	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA233	1970-02-08	NA	NA	NA	NA	4225	2014-11-24T15:12:07Z	NA	4225	NA	JAMILTEPEC	JUQUILA	1512	16.233634	-97.28339	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17756	NA	NA	NA	SEEDGWAS2433	242913	CML269/CML264	268289	OLOTON	NA	TEPECI	NA	Dent	NA	NA	Blue	White	Yellow	Collection	NA	NA	SEEDGWAS2433
1728	17566	NA	17566	CIMMYTMA-BANK-005844	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA238	1970-02-10	NA	NA	NA	NA	8418	2014-11-24T15:12:07Z	NA	8418	NA	NA	SAN PEDRO TUTUTEPEC	106	16.11666667	-97.61666667	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17863	NA	NA	NA	SEEDGWAS1463	242919	CML495/CML494	242534	TEPECI	NA	ZAPGRA	NA	Dent	NA	NA	White	Yellow	Blue	Collection	NA	NA	SEEDGWAS1463
1729	17567	NA	17567	CIMMYTMA-BANK-005845	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA239	1970-02-10	NA	NA	NA	NA	7463	2014-11-24T15:12:07Z	NA	7463	NA	PINOTEPA NACIONAL	RANCHO VIEJO	187	16.343416	-98.026611	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17854	NA	NA	NA	SEEDGWAS1464	242913	CML269/CML264	242535	ZAPCHI	NA	NALTEL	NA	Dent	NA	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS1464
1730	17570	NA	17570	CIMMYTMA-BANK-005846	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA241	1970-02-10	NA	NA	NA	NA	7463	2014-11-24T15:12:07Z	NA	7463	NA	PINOTEPA NACIONAL	RANCHO VIEJO	187	16.343416	-98.026611	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV23214	NA	NA	NA	SEEDGWAS3876	242917	CML457/CML459	240672	ZAPCHI	NA	OLOTIL	NA	Dent	NA	NA	Yellow	White	Blue	Collection	NA	NA	SEEDGWAS3876
1731	17572	NA	17572	CIMMYTMA-BANK-005847	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA244	1970-02-11	NA	NA	NA	NA	2291	2014-11-24T15:12:07Z	NA	2291	NA	SAN SEBASTIAN IXCAPA	COSTATITLAN (EL LIMON)	221	16.539657	-98.136052	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18217	NA	NA	NA	SEEDGWAS864	242916	CML451/CML486	241935	OLOTIL	8	NA	NA	Dent	NA	NA	Yellow	White	Blue	Collection	NA	NA	SEEDGWAS864
1732	17574	NA	17574	CIMMYTMA-BANK-005849	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA258	1970-02-11	NA	NA	NA	NA	3068	2014-11-24T15:12:07Z	NA	3068	NA	SANTA MARIA ZACATEPEC	EL TAPANCO	402	16.81	-97.99	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18116	NA	NA	NA	SEEDGWAS3877	242917	CML457/CML459	240673	OLOTIL	NA	NALTEL	NA	Dent	NA	NA	White	Yellow	Sun red	Collection	NA	NA	SEEDGWAS3877
1733	17578	NA	17578	CIMMYTMA-BANK-005854	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA328	1970-03-13	NA	NA	NA	NA	5817	2014-11-24T15:12:07Z	NA	5817	NA	NA	NOCHIXTLAN	2094	17.447871	-97.216461	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17891	NA	NA	NA	SEEDGWAS4397	268091	CML460/CML461	268726	BOLITA	NA	CONICO	NA	Dent	NA	NA	Yellow	Sun red	Blue	Collection	NA	NA	SEEDGWAS4397
1735	17582	NA	17582	CIMMYTMA-BANK-005860	NA	NA	2	NA	NA	NA	NA	NA	NA	YUCA6	1944-01-01	NA	NA	NA	NA	2538	2014-11-24T15:12:07Z	NA	2538	NA	NA	DZITAS	31	20.85	-88.51666667	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV24732	NA	NA	NA	SEEDGWAS865	242913	CML269/CML264	241936	NALTEL	NA	TUXPEN	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS865
1736	17583	NA	17583	CIMMYTMA-BANK-005861	NA	NA	2	NA	NA	NA	NA	NA	NA	YUCA13	1948-01-01	NA	NA	NA	NA	9206	2014-11-24T15:12:07Z	NA	9206	NA	NA	TEKAX	36	20.204528	-89.286389	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV27261	NA	NA	NA	SEEDGWAS324	242913	CML269/CML264	241394	TUXPEN	NA	NALTEL	NA	Dent	NA	NA	White	Sun red	Yellow	Collection	NA	NA	SEEDGWAS324
1737	17587	NA	17587	CIMMYTMA-BANK-005863	NA	NA	2	NA	NA	NA	NA	NA	NA	YUCA69	1948-01-01	NA	NA	NA	NA	9416	2014-11-24T15:12:07Z	NA	9416	NA	NA	TIZIMIN	17	21.15474	-88.137823	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17869	NA	NA	NA	SEEDGWAS325	242913	CML269/CML264	241395	NALTEL	NA	TUXPEN	NA	Dent	NA	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS325
1738	17590	NA	17590	CIMMYTMA-BANK-005865	NA	NA	2	NA	NA	NA	NA	NA	NA	YUCA98	1948-01-01	NA	NA	NA	NA	9969	2014-11-24T15:12:07Z	NA	9969	NA	NA	YAHDZONAT	28	20.730074	-88.732723	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17748	NA	NA	NA	SEEDGWAS866	242916	CML451/CML486	241937	NALTEL	NA	DZITBA	NA	Dent	NA	NA	Sun red	Yellow	White	Collection	NA	NA	SEEDGWAS866
1739	17593	NA	17593	CIMMYTMA-BANK-005871	NA	NA	2	NA	NA	NA	NA	NA	NA	FRGU792	1954-01-01	NA	NA	NA	NA	3978	2014-11-24T15:12:07Z	NA	3978	NA	FLECHE	IRACOUBO	13	5.483333333	-53.21666667	254	GF	GUF	FRENCH GUIANA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18520	NA	NA	NA	SEEDGWAS326	242913	CML269/CML264	241396	NORCAT	NA	NA	NA	Flint	NA	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS326
1740	17594	NA	17594	CIMMYTMA-BANK-005872	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA259	1970-02-12	NA	NA	NA	NA	8172	2014-11-24T15:12:07Z	NA	8172	NA	NA	SAN JUAN COPALA	1656	17.19135	-97.957508	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1176	NA	NA	NA	SEEDGWAS2434	242917	CML457/CML459	268785	BOLITA	NA	CONICO	NA	Dent	NA	NA	Blue	White	Yellow	Collection	NA	NA	SEEDGWAS2434
1741	17596	NA	17596	CIMMYTMA-BANK-005879	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ1789	NA	NA	NA	NA	NA	1135	2014-11-24T15:12:07Z	NA	1135	NA	SAO PAULO	CAJURU	735	-21.294105	-47.300751	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17865	NA	NA	NA	SEEDGWAS327	242919	CML495/CML494	241397	PADENT	9	NA	NA	Dent	NA	NA	Yellow	White	NA	Collection	NA	NA	SEEDGWAS327
1742	17602	NA	17602	CIMMYTMA-BANK-005888	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA280	1970-02-17	NA	NA	NA	NA	7828	2014-11-24T15:12:07Z	NA	7828	NA	HUAUTLA DE JIMENEZ	SAN ANDRES HIDALGO	1787	18.13333333	-96.81666667	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17843	NA	NA	NA	SEEDGWAS2435	242913	CML269/CML264	239229	CONICO	NA	OLOTON	NA	Dent	NA	NA	White	Yellow	Blue	Collection	NA	NA	SEEDGWAS2435
1743	17613	NA	17613	CIMMYTMA-BANK-005898	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA358	1970-02-18	NA	NA	NA	NA	8058	2014-11-24T15:12:07Z	NA	8058	NA	NA	SAN JERONIMO TECOATL	1893	18.168377	-96.911836	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV24501	NA	NA	NA	SEEDGWAS2760	242919	CML495/CML494	268266	CONICO	NA	OLOTON	NA	Dent	NA	NA	Red	Yellow	Blue	Collection	NA	NA	SEEDGWAS2760
1744	17614	NA	17614	CIMMYTMA-BANK-005899	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA361	1970-02-18	NA	NA	NA	NA	8058	2014-11-24T15:12:07Z	NA	8058	NA	NA	SAN JERONIMO TECOATL	1893	18.168377	-96.911836	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1177	NA	NA	NA	SEEDGWAS2761	242913	CML269/CML264	268260	CONICO	NA	OLOTON	NA	Dent	NA	NA	Blue	White	Yellow	Collection	NA	NA	SEEDGWAS2761
1745	17615	NA	17615	CIMMYTMA-BANK-005900	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA362	1970-02-18	NA	NA	NA	NA	8616	2014-11-24T15:12:07Z	NA	8616	NA	NA	SANTA MARIA TEOPOXCO	2019	18.168563	-96.950662	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV19469	NA	NA	NA	SEEDGWAS4980	242917	CML457/CML459	268235	CONICO	NA	OLOTON	NA	Dent	NA	NA	White	Sun red	Yellow	Collection	NA	NA	SEEDGWAS4980
1745	17615	NA	17615	CIMMYTMA-BANK-005900	NA	NA	2	NA	NA	NA	NA	NA	NA	OAXA362	1970-02-18	NA	NA	NA	NA	8616	2014-11-24T15:12:07Z	NA	8616	NA	NA	SANTA MARIA TEOPOXCO	2019	18.168563	-96.950662	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV19469	NA	NA	NA	SEEDGWAS4980	242917	CML457/CML459	268235	CONICO	NA	OLOTON	NA	Dent	NA	NA	White	Sun red	Yellow	Collection	NA	NA	SEEDGWAS4980
1746	17616	NA	17616	CIMMYTMA-BANK-005902	NA	NA	2	NA	NA	NA	NA	NA	NA	BRAZ1680	NA	NA	NA	NA	NA	9647	2014-11-24T15:12:07Z	NA	9647	NA	SANTA CATARINA	TURVO	26	-28.93333333	-49.68333333	76	BR	BRA	BRAZIL	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV18610	NA	NA	NA	SEEDGWAS328	242919	CML495/CML494	241398	DENTAD	NA	NA	NA	Dent	NA	NA	Yellow	NA	NA	Collection	NA	NA	SEEDGWAS328
1748	17740	NA	17740	CIMMYTMA-BANK-005906	NA	NA	2	NA	NA	NA	NA	NA	NA	CHIS202	1946-01-01	NA	NA	NA	NA	9133	2014-11-24T15:12:07Z	NA	9133	NA	AMATENANGO DE LA FRONT	TAPITZALA NUMERO DOS	782	15.556193	-92.137003000000007	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV17063	NA	NA	NA	SEEDGWAS867	242913	CML269/CML264	241938	TEPECI	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS867
