SEEDGWAS2078id	general_identifier	number	name	bank_number	breeders_code	subtaxa_id...7	taxonomy_id	institution_id	breeder_id	plant_passport	donor_code	donor_number	acqdate	collnumb	colldate	collcode	duplsite	biologicalstatus_id	collsrc_id	location_id	created_on	updated_on	locations_id	locations_state	locations_region	locations_site_name	locations_elevation	locations_latitude	locations_longitude	countries_id	countries_country_code2	countries_country_code3	countries_country_name	subtaxa_id...35	subtaxa_subtaxa_author	subtaxa_taxonomic_identifier	taxonomies_id	taxonomies_genus	taxonomies_species	taxonomies_species_author	taxonomies_crop_name	taxonomies_ploidy	Sample ID of DNA from composite samples	Sample ID of DNA from original CMLs	Sample ID of DNA from most recent CML regenerations	Sample ID for DNA from intermediate CML regenerations	Sample ID of DNA from single plants used in GWAS	Tester GID	Tester pedigree	Testcross GID	PrimaryRace	PrimaryPurity	SecondaryRace	Pedigree	GrainType1	GrainType2	GrainType3	GrainColor1	GrainColor2	GrainColor3	PopulationType	flowering_season_start	growing_season_start	X.unlist.strsplit.pca_sample_names....n....
22	301	NA	301	CIMMYTMA-BANK-000057	NA	NA	2	NA	NA	NA	NA	NA	NA	GUERGP31	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:28Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV817	NA	NA	NA	SEEDGWAS3372	242914	CML373/CML311	240166	PEPITI	NA	TUXPEN	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS3372
25	357	NA	357	CIMMYTMA-BANK-000058	NA	NA	2	NA	NA	NA	NA	NA	NA	GUERGP32	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:28Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1294	NA	NA	NA	SEEDGWAS4038	242919	CML495/CML494	240835	PEPITI	NA	TUXPEN	NA	Dent	NA	NA	White	Yellow	Sun red	Group	NA	NA	SEEDGWAS4038
26	495	NA	495	CIMMYTMA-BANK-000060	NA	NA	2	NA	NA	NA	NA	NA	NA	MICH141	1952-01-01	NA	NA	NA	NA	9264	2014-11-24T15:10:29Z	NA	9264	NA	NA	TEPALCATEPEC	364	19.18333333	-102.8333333	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1093	NA	NA	NA	SEEDGWAS3794	242914	CML373/CML311	240589	TABLON	NA	NA	NA	Dent	NA	NA	Yellow	White	NA	Collection	NA	NA	SEEDGWAS3794
27	496	NA	496	CIMMYTMA-BANK-000061	NA	NA	2	NA	NA	NA	NA	NA	NA	GUERGP35	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:29Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV5236	NA	NA	NA	SEEDGWAS3159	242914	CML373/CML311	239953	REVENT	NA	NA	NA	Flint	Dent	NA	White	Yellow	Sun red	Group	NA	NA	SEEDGWAS3159
28	500	NA	500	CIMMYTMA-BANK-000064	NA	NA	2	NA	NA	NA	NA	NA	NA	GUER130	1947-01-01	NA	NA	NA	NA	5716	2014-11-24T15:10:29Z	NA	5716	NA	PETATLAN	MURGA	123	17.678521	-101.303874	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1296	NA	NA	NA	SEEDGWAS1166	242919	CML495/CML494	242237	VANDEN	NA	NA	NA	Flint	Dent	NA	Blue	NA	NA	Collection	NA	NA	SEEDGWAS1166
29	516	NA	516	CIMMYTMA-BANK-000070	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEBGP1	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:29Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1302	NA	NA	NA	SEEDGWAS2304	242913	CML269/CML264	239098	BOLITA	NA	NA	NA	Dent	NA	NA	White	Sun red	NA	Group	NA	NA	SEEDGWAS2304
30	552	NA	552	CIMMYTMA-BANK-000071	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEBGP2	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:29Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1303	NA	NA	NA	SEEDGWAS2305	242913	CML269/CML264	268828	CHALQU	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS2305
31	555	NA	555	CIMMYTMA-BANK-000072	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEBGP3	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:30Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1304	NA	NA	NA	SEEDGWAS5185	242914	CML373/CML311	286714	CHALQU	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS5185
32	562	NA	562	CIMMYTMA-BANK-000076	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEBGP7	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:30Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV5186	NA	NA	NA	SEEDGWAS2306	242912	CML244/CML349	268722	CONICO	NA	MEZCLA	NA	Dent	NA	NA	White	Yellow	Blue	Group	NA	NA	SEEDGWAS2306
33	569	NA	569	CIMMYTMA-BANK-000077	NA	NA	2	NA	NA	NA	NA	NA	NA	PUEBGP8	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:30Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1308	NA	NA	NA	SEEDGWAS2668	242912	CML244/CML349	268783	CONICO	NA	NA	NA	Dent	NA	NA	White	Yellow	Blue	Group	NA	NA	SEEDGWAS2668
